epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
49,83.097,1.50327,1.00839,1.37559,0.84397,0.70059,0.78941,0.46629,1.32074,0.80178,1.28114,0.000874842,0.000874842,0.000874842
50,84.7791,1.52321,1.00488,1.38131,0.77773,0.75052,0.80257,0.45906,1.33742,0.76564,1.28151,0.000858338,0.000858338,0.000858338
51,86.4645,1.46368,0.96294,1.30555,0.76166,0.7579,0.79299,0.4665,1.34202,0.76264,1.31132,0.000841835,0.000841835,0.000841835
52,88.1384,1.43519,0.96341,1.31054,0.84516,0.72716,0.8018,0.46543,1.3912,0.77204,1.31526,0.000825332,0.000825332,0.000825332
53,89.7937,1.4835,0.95092,1.35961,0.85285,0.72579,0.80138,0.47783,1.32614,0.77138,1.27943,0.000808828,0.000808828,0.000808828
54,91.4818,1.49189,0.94873,1.33855,0.8062,0.72256,0.78952,0.4773,1.30699,0.78588,1.27986,0.000792325,0.000792325,0.000792325
55,93.1553,1.47352,0.94929,1.30215,0.75038,0.76561,0.79514,0.47198,1.33609,0.77416,1.28711,0.000775822,0.000775822,0.000775822
56,94.8243,1.46795,0.98566,1.3525,0.84019,0.72118,0.80818,0.4804,1.32904,0.77091,1.27478,0.000759318,0.000759318,0.000759318
57,96.4979,1.4876,0.93037,1.32356,0.86585,0.69597,0.79494,0.47209,1.31229,0.75166,1.26559,0.000742815,0.000742815,0.000742815
58,98.1778,1.46645,0.92296,1.30294,0.8206,0.71415,0.78928,0.46334,1.35381,0.75412,1.28686,0.000726312,0.000726312,0.000726312
59,99.9536,1.46763,0.90775,1.31107,0.8075,0.72284,0.78709,0.4593,1.36065,0.76777,1.2872,0.000709809,0.000709809,0.000709809
60,101.658,1.4675,0.89803,1.2878,0.82623,0.7185,0.79494,0.47649,1.30888,0.75813,1.26162,0.000693305,0.000693305,0.000693305
61,103.329,1.44726,0.91446,1.3149,0.80456,0.74232,0.80139,0.47677,1.32078,0.75412,1.25561,0.000676802,0.000676802,0.000676802
62,105.002,1.48727,0.93458,1.33159,0.81886,0.75074,0.82065,0.462,1.38658,0.76165,1.2809,0.000660299,0.000660299,0.000660299
63,106.686,1.44299,0.91034,1.31282,0.82913,0.74115,0.8174,0.47951,1.32535,0.74705,1.25764,0.000643795,0.000643795,0.000643795
64,108.36,1.41905,0.92604,1.31483,0.83514,0.74557,0.81513,0.4826,1.31401,0.74184,1.25848,0.000627292,0.000627292,0.000627292
65,110.036,1.44681,0.94014,1.30894,0.87492,0.70185,0.81439,0.47838,1.33727,0.75419,1.27563,0.000610789,0.000610789,0.000610789
66,111.74,1.44815,0.90341,1.30864,0.84619,0.71794,0.80752,0.49015,1.28968,0.73373,1.24614,0.000594286,0.000594286,0.000594286
67,113.412,1.42366,0.88721,1.27804,0.81542,0.75391,0.81355,0.49539,1.26422,0.72493,1.22598,0.000577782,0.000577782,0.000577782
68,115.097,1.41061,0.86301,1.25054,0.83594,0.76308,0.81855,0.49086,1.2813,0.72216,1.22638,0.000561279,0.000561279,0.000561279
69,116.765,1.45726,0.93329,1.33218,0.83942,0.75949,0.81495,0.48109,1.32087,0.7277,1.247,0.000544776,0.000544776,0.000544776
70,118.451,1.43364,0.88488,1.28468,0.84028,0.72085,0.8002,0.48137,1.29341,0.72141,1.25516,0.000528272,0.000528272,0.000528272
71,120.131,1.39573,0.88027,1.27046,0.86173,0.73309,0.81407,0.49297,1.281,0.722,1.25919,0.000511769,0.000511769,0.000511769
72,121.793,1.42128,0.89855,1.30588,0.86877,0.73148,0.81507,0.48114,1.33323,0.72254,1.28269,0.000495266,0.000495266,0.000495266
73,123.469,1.41216,0.87891,1.27198,0.82592,0.76447,0.8146,0.48596,1.30193,0.71672,1.26643,0.000478762,0.000478762,0.000478762
74,125.151,1.37806,0.84805,1.26875,0.80934,0.75244,0.80934,0.48797,1.27979,0.71764,1.25315,0.000462259,0.000462259,0.000462259
75,126.83,1.38132,0.84996,1.25866,0.81718,0.76351,0.81778,0.48878,1.285,0.72492,1.24372,0.000445756,0.000445756,0.000445756
76,128.583,1.40897,0.88408,1.26752,0.80879,0.77477,0.81972,0.48447,1.28802,0.73811,1.23772,0.000429253,0.000429253,0.000429253
77,130.272,1.39055,0.86137,1.27151,0.85659,0.73874,0.81491,0.49299,1.25186,0.71346,1.21913,0.000412749,0.000412749,0.000412749
78,131.963,1.39223,0.83752,1.23108,0.8376,0.73633,0.81339,0.49718,1.2744,0.70358,1.23328,0.000396246,0.000396246,0.000396246
79,133.643,1.37562,0.84595,1.2855,0.87162,0.72431,0.81511,0.49297,1.2957,0.69955,1.24792,0.000379743,0.000379743,0.000379743
80,135.329,1.39872,0.83895,1.23324,0.86756,0.72201,0.81597,0.48978,1.29345,0.69257,1.24585,0.000363239,0.000363239,0.000363239
81,136.987,1.36209,0.8641,1.31185,0.8559,0.74039,0.81799,0.49229,1.26812,0.69489,1.23584,0.000346736,0.000346736,0.000346736
82,138.667,1.37537,0.89206,1.27778,0.84375,0.74604,0.82053,0.48755,1.29397,0.70507,1.23476,0.000330233,0.000330233,0.000330233
83,140.319,1.34478,0.87473,1.26069,0.85292,0.75758,0.82635,0.5024,1.30069,0.7159,1.24946,0.000313729,0.000313729,0.000313729
84,141.988,1.38777,0.87496,1.27568,0.8514,0.74206,0.8294,0.49937,1.28817,0.73899,1.24351,0.000297226,0.000297226,0.000297226
85,143.664,1.37426,0.85609,1.26574,0.84157,0.76044,0.82755,0.49816,1.29489,0.73189,1.25698,0.000280723,0.000280723,0.000280723
86,145.362,1.35781,0.83831,1.23974,0.85938,0.74719,0.82018,0.50147,1.30503,0.72772,1.26187,0.00026422,0.00026422,0.00026422
87,147.039,1.33252,0.82644,1.24501,0.87384,0.76072,0.82253,0.49449,1.32141,0.70908,1.27073,0.000247716,0.000247716,0.000247716
88,148.709,1.3381,0.84728,1.23971,0.85786,0.75361,0.81829,0.49193,1.30187,0.69562,1.24993,0.000231213,0.000231213,0.000231213
89,150.379,1.33326,0.84129,1.23681,0.84378,0.74052,0.80959,0.4994,1.26109,0.69873,1.21753,0.00021471,0.00021471,0.00021471
90,152.053,1.36196,0.84586,1.28997,0.85257,0.74306,0.81514,0.49811,1.25218,0.6973,1.20765,0.000198206,0.000198206,0.000198206
91,154.206,1.29809,0.80295,1.1961,0.88094,0.7233,0.81481,0.49518,1.2629,0.68847,1.20842,0.000181703,0.000181703,0.000181703
92,155.822,1.29639,0.78166,1.21544,0.85434,0.74501,0.81814,0.49532,1.28374,0.69171,1.22996,0.0001652,0.0001652,0.0001652
93,157.433,1.31535,0.81503,1.18358,0.87945,0.7247,0.81498,0.49185,1.2946,0.69356,1.23755,0.000148696,0.000148696,0.000148696
94,159.049,1.29957,0.79744,1.19862,0.87857,0.72518,0.81457,0.49516,1.28225,0.69347,1.23187,0.000132193,0.000132193,0.000132193
95,160.692,1.27398,0.79846,1.20211,0.87753,0.71999,0.80873,0.50194,1.24652,0.70037,1.20105,0.00011569,0.00011569,0.00011569
96,162.306,1.26534,0.78354,1.17913,0.85378,0.74501,0.81628,0.50198,1.25032,0.70126,1.20649,9.91865e-05,9.91865e-05,9.91865e-05
97,163.918,1.26021,0.78887,1.18056,0.85276,0.75618,0.8165,0.49896,1.27474,0.6996,1.2259,8.26832e-05,8.26832e-05,8.26832e-05
98,165.537,1.26257,0.78566,1.18232,0.87209,0.7422,0.81815,0.5052,1.2687,0.69599,1.22218,6.61799e-05,6.61799e-05,6.61799e-05
99,167.165,1.2646,0.78239,1.1891,0.86753,0.74633,0.81922,0.50522,1.26435,0.70062,1.21946,4.96766e-05,4.96766e-05,4.96766e-05
100,168.79,1.25786,0.78342,1.18769,0.87245,0.74696,0.8177,0.50481,1.25049,0.69382,1.20261,3.31733e-05,3.31733e-05,3.31733e-05
